pollutant,row_count,sensor_count,start_time_utc,end_time_utc,avg_missing_pct,max_missing_pct
NO2,193120,16,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,9.396748135893123,60.09942004971003
O3,205190,17,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,9.237779618907743,60.09942004971003
PM10,193120,16,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,9.519987572494406,60.15741507870754
PM2_5,205190,17,2021-12-16 07:00:00+00:00,2023-06-14 08:00:00+00:00,9.092061016707053,60.265120132560064
