timestamp,event_type,pollutant,sensor_id,segment_id,value,threshold_level,details
2022-08-17 08:00:00+00:00,spike,NO2,S12,2,49.2813,,z-score spike | roc=8.206
2022-08-17 11:00:00+00:00,spike,NO2,S12,2,49.9942,,z-score spike | roc=5.618
2022-08-17 14:00:00+00:00,spike,NO2,S12,2,56.5409,,z-score spike | roc=12.396
2022-08-17 15:00:00+00:00,spike,NO2,S12,2,62.3562,,z-score spike | roc=5.815
2022-08-17 16:00:00+00:00,spike,NO2,S12,2,50.807,,z-score spike | roc=-11.549
2022-08-17 17:00:00+00:00,spike,NO2,S12,2,54.0802,,z-score spike | roc=3.273
2022-08-17 18:00:00+00:00,spike,NO2,S12,2,55.4587,,z-score spike | roc=1.379
2022-08-17 19:00:00+00:00,spike,NO2,S12,2,58.3857,,z-score spike | roc=2.927
2022-08-17 20:00:00+00:00,spike,NO2,S12,2,51.3065,,z-score spike | roc=-7.079
2022-08-17 21:00:00+00:00,spike,NO2,S12,2,55.8577,,z-score spike | roc=4.551
2022-08-17 22:00:00+00:00,spike,NO2,S12,2,58.1316,,z-score spike | roc=2.274
2022-08-18 05:00:00+00:00,spike,NO2,S12,2,51.439,,z-score spike | roc=16.788
2022-08-18 06:00:00+00:00,spike,NO2,S12,2,54.0532,,z-score spike | roc=2.614
2022-08-18 07:00:00+00:00,spike,NO2,S12,2,58.8735,,z-score spike | roc=4.820
2022-08-18 08:00:00+00:00,spike,NO2,S12,2,54.6315,,z-score spike | roc=-4.242
2022-08-18 10:00:00+00:00,spike,NO2,S12,2,54.8828,,z-score spike | roc=7.846
2022-08-19 13:00:00+00:00,spike,NO2,S12,2,50.8115,,z-score spike | roc=5.939
2022-08-19 14:00:00+00:00,spike,NO2,S12,2,54.6028,,z-score spike | roc=3.791
2022-08-19 15:00:00+00:00,spike,NO2,S12,2,51.5143,,z-score spike | roc=-3.088
2022-08-25 15:00:00+00:00,spike,NO2,S12,2,50.3084,,z-score spike | roc=8.893
2022-08-25 17:00:00+00:00,spike,NO2,S12,2,55.7731,,z-score spike | roc=18.772
2022-08-25 18:00:00+00:00,spike,NO2,S12,2,55.9285,,z-score spike | roc=0.155
2022-08-29 14:00:00+00:00,spike,NO2,S12,2,49.7547,,z-score spike | roc=14.446
2022-08-29 15:00:00+00:00,spike,NO2,S12,2,52.2256,,z-score spike | roc=2.471
2022-08-29 16:00:00+00:00,spike,NO2,S12,2,50.5942,,z-score spike | roc=-1.631
2022-09-04 18:00:00+00:00,spike,NO2,S12,2,51.3505,,z-score spike | roc=5.406
2022-09-05 16:00:00+00:00,spike,NO2,S12,2,50.359,,z-score spike | roc=7.830
2022-09-06 14:00:00+00:00,spike,NO2,S12,2,57.4513,,z-score spike | roc=14.295
2022-09-06 15:00:00+00:00,spike,NO2,S12,2,53.9148,,z-score spike | roc=-3.537
2022-09-06 16:00:00+00:00,spike,NO2,S12,2,51.9278,,z-score spike | roc=-1.987
2022-09-06 18:00:00+00:00,spike,NO2,S12,2,49.9515,,z-score spike | roc=2.449
2022-09-07 12:00:00+00:00,spike,NO2,S12,2,49.6184,,z-score spike | roc=8.824
2022-09-07 17:00:00+00:00,spike,NO2,S12,2,49.6467,,z-score spike | roc=3.944
2022-09-12 15:00:00+00:00,spike,NO2,S12,2,55.2658,,z-score spike | roc=18.532
2022-09-13 15:00:00+00:00,spike,NO2,S12,2,52.2212,,z-score spike | roc=11.430
2022-09-21 16:00:00+00:00,spike,NO2,S12,2,49.5179,,z-score spike | roc=0.568
2022-09-21 17:00:00+00:00,spike,NO2,S12,2,51.8258,,z-score spike | roc=2.308
2022-09-24 17:00:00+00:00,spike,NO2,S12,2,52.0858,,z-score spike | roc=12.216
2022-09-24 18:00:00+00:00,spike,NO2,S12,2,51.5778,,z-score spike | roc=-0.508
2022-09-25 16:00:00+00:00,spike,NO2,S12,2,49.2851,,z-score spike | roc=12.541
2022-09-26 16:00:00+00:00,spike,NO2,S12,2,50.7343,,z-score spike | roc=13.139
2022-09-30 17:00:00+00:00,spike,NO2,S12,2,51.7986,,z-score spike | roc=6.663
2022-10-06 16:00:00+00:00,spike,NO2,S12,2,51.9741,,z-score spike | roc=15.665
2022-10-06 17:00:00+00:00,spike,NO2,S12,2,51.3727,,z-score spike | roc=-0.601
2022-10-07 16:00:00+00:00,spike,NO2,S12,2,55.7004,,z-score spike | roc=10.362
2022-10-07 17:00:00+00:00,spike,NO2,S12,2,51.8118,,z-score spike | roc=-3.889
2022-10-10 06:00:00+00:00,spike,NO2,S12,2,49.6687,,z-score spike | roc=1.490
2022-10-11 15:00:00+00:00,spike,NO2,S12,2,52.5291,,z-score spike | roc=9.016
2022-10-11 16:00:00+00:00,spike,NO2,S12,2,51.4394,,z-score spike | roc=-1.090
2022-10-13 14:00:00+00:00,spike,NO2,S12,2,52.7565,,z-score spike | roc=20.082
2022-10-13 15:00:00+00:00,spike,NO2,S12,2,51.5233,,z-score spike | roc=-1.233
2022-11-08 15:00:00+00:00,spike,NO2,S12,2,50.2482,,z-score spike | roc=12.502
2022-11-08 16:00:00+00:00,spike,NO2,S12,2,56.1959,,z-score spike | roc=5.948
2022-11-08 17:00:00+00:00,spike,NO2,S12,2,52.8537,,z-score spike | roc=-3.342
2022-12-08 16:00:00+00:00,spike,NO2,S12,2,50.409,,z-score spike | roc=6.043
2023-01-03 16:00:00+00:00,spike,NO2,S12,2,49.5897,,z-score spike | roc=3.150
2023-02-09 17:00:00+00:00,spike,NO2,S12,2,51.4715,,z-score spike | roc=5.289
2023-02-09 18:00:00+00:00,spike,NO2,S12,2,51.0332,,z-score spike | roc=-0.438
2023-03-02 18:00:00+00:00,spike,NO2,S12,2,53.7505,,z-score spike | roc=7.006
2023-03-02 19:00:00+00:00,spike,NO2,S12,2,55.7133,,z-score spike | roc=1.963
2022-08-16 13:00:00+00:00,spike,NO2,S14,2,50.2483,,z-score spike | roc=6.654
2022-08-16 19:00:00+00:00,spike,NO2,S14,2,52.1307,,z-score spike | roc=8.428
2022-08-16 20:00:00+00:00,spike,NO2,S14,2,49.4549,,z-score spike | roc=-2.676
2022-08-17 08:00:00+00:00,spike,NO2,S14,2,51.2295,,z-score spike | roc=4.984
2022-08-17 09:00:00+00:00,spike,NO2,S14,2,49.7736,,z-score spike | roc=-1.456
2022-08-17 11:00:00+00:00,spike,NO2,S14,2,53.5544,,z-score spike | roc=11.288
2022-08-17 13:00:00+00:00,spike,NO2,S14,2,55.4555,,z-score spike | roc=7.595
2022-08-17 14:00:00+00:00,spike,NO2,S14,2,51.3532,,z-score spike | roc=-4.102
2022-08-17 17:00:00+00:00,spike,NO2,S14,2,49.838,,z-score spike | roc=11.160
2022-08-17 19:00:00+00:00,spike,NO2,S14,2,55.7705,,z-score spike | roc=10.789
2022-08-17 20:00:00+00:00,spike,NO2,S14,2,52.5135,,z-score spike | roc=-3.257
2022-08-17 21:00:00+00:00,spike,NO2,S14,2,55.9161,,z-score spike | roc=3.403
2022-08-17 22:00:00+00:00,spike,NO2,S14,2,51.8126,,z-score spike | roc=-4.103
2022-08-18 09:00:00+00:00,spike,NO2,S14,2,52.3388,,z-score spike | roc=3.857
2022-08-18 10:00:00+00:00,spike,NO2,S14,2,51.6798,,z-score spike | roc=-0.659
2022-08-19 11:00:00+00:00,spike,NO2,S14,2,52.6057,,z-score spike | roc=5.825
2022-08-19 13:00:00+00:00,spike,NO2,S14,2,49.7083,,z-score spike | roc=1.103
2022-08-19 14:00:00+00:00,spike,NO2,S14,2,50.5263,,z-score spike | roc=0.818
2022-08-24 15:00:00+00:00,spike,NO2,S14,2,50.4865,,z-score spike | roc=9.531
2022-08-24 16:00:00+00:00,spike,NO2,S14,2,55.524,,z-score spike | roc=5.037
2022-08-25 13:00:00+00:00,spike,NO2,S14,2,48.8091,,z-score spike | roc=23.523
2022-08-25 15:00:00+00:00,spike,NO2,S14,2,58.0819,,z-score spike | roc=19.721
2022-08-25 17:00:00+00:00,spike,NO2,S14,2,56.2649,,z-score spike | roc=20.218
2022-08-26 18:00:00+00:00,spike,NO2,S14,2,49.5351,,z-score spike | roc=3.846
2022-08-30 08:00:00+00:00,spike,NO2,S14,2,48.9623,,z-score spike | roc=3.141
2022-09-06 15:00:00+00:00,spike,NO2,S14,2,49.4457,,z-score spike | roc=10.677
2022-09-06 16:00:00+00:00,spike,NO2,S14,2,56.031,,z-score spike | roc=6.585
2022-09-06 17:00:00+00:00,spike,NO2,S14,2,54.7455,,z-score spike | roc=-1.286
2022-09-12 16:00:00+00:00,spike,NO2,S14,2,58.859,,z-score spike | roc=11.124
2022-09-13 14:00:00+00:00,spike,NO2,S14,2,48.6807,,z-score spike | roc=16.045
2022-09-21 16:00:00+00:00,spike,NO2,S14,2,51.7639,,z-score spike | roc=5.505
2022-09-21 17:00:00+00:00,spike,NO2,S14,2,51.3329,,z-score spike | roc=-0.431
2022-09-23 14:00:00+00:00,spike,NO2,S14,2,50.0157,,z-score spike | roc=6.732
2022-09-23 16:00:00+00:00,spike,NO2,S14,2,50.6714,,z-score spike | roc=10.201
2022-09-24 17:00:00+00:00,spike,NO2,S14,2,53.635,,z-score spike | roc=19.379
2022-09-24 18:00:00+00:00,spike,NO2,S14,2,50.6054,,z-score spike | roc=-3.030
2022-09-25 17:00:00+00:00,spike,NO2,S14,2,49.1391,,z-score spike | roc=2.806
2022-09-30 17:00:00+00:00,spike,NO2,S14,2,53.8883,,z-score spike | roc=13.004
2022-10-07 16:00:00+00:00,spike,NO2,S14,2,52.7103,,z-score spike | roc=7.525
2022-10-07 17:00:00+00:00,spike,NO2,S14,2,53.6735,,z-score spike | roc=0.963
2022-10-10 06:00:00+00:00,spike,NO2,S14,2,52.0712,,z-score spike | roc=3.525
2022-10-11 15:00:00+00:00,spike,NO2,S14,2,57.0569,,z-score spike | roc=14.636
2022-10-11 16:00:00+00:00,spike,NO2,S14,2,49.1062,,z-score spike | roc=-7.951
2022-10-22 16:00:00+00:00,spike,NO2,S14,2,50.515,,z-score spike | roc=2.448
2022-11-08 16:00:00+00:00,spike,NO2,S14,2,50.6932,,z-score spike | roc=2.507
2022-11-08 17:00:00+00:00,spike,NO2,S14,2,53.5905,,z-score spike | roc=2.897
2023-01-03 15:00:00+00:00,spike,NO2,S14,2,51.4793,,z-score spike | roc=4.979
2023-01-03 16:00:00+00:00,spike,NO2,S14,2,53.1874,,z-score spike | roc=1.708
2023-02-09 17:00:00+00:00,spike,NO2,S14,2,52.9698,,z-score spike | roc=5.913
2023-02-09 18:00:00+00:00,spike,NO2,S14,2,52.2479,,z-score spike | roc=-0.722
2023-03-02 17:00:00+00:00,spike,NO2,S14,2,50.1472,,z-score spike | roc=5.658
2023-03-02 18:00:00+00:00,spike,NO2,S14,2,58.4047,,z-score spike | roc=8.258
2023-03-02 19:00:00+00:00,spike,NO2,S14,2,53.0607,,z-score spike | roc=-5.344
2023-03-02 20:00:00+00:00,spike,NO2,S14,2,50.884,,z-score spike | roc=-2.177
2023-03-19 17:00:00+00:00,spike,NO2,S14,2,50.4282,,z-score spike | roc=2.744
2023-03-19 19:00:00+00:00,spike,NO2,S14,2,49.3074,,z-score spike | roc=2.353
2023-03-19 20:00:00+00:00,spike,NO2,S14,2,48.9826,,z-score spike | roc=-0.325
2022-08-16 18:00:00+00:00,spike,NO2,S5,2,51.1746,,z-score spike | roc=16.562
2022-08-16 19:00:00+00:00,spike,NO2,S5,2,57.4087,,z-score spike | roc=6.234
2022-08-17 08:00:00+00:00,spike,NO2,S5,2,52.246,,z-score spike | roc=13.689
2022-08-17 10:00:00+00:00,spike,NO2,S5,2,54.5891,,z-score spike | roc=7.241
2022-08-17 11:00:00+00:00,spike,NO2,S5,2,50.3567,,z-score spike | roc=-4.232
2022-08-17 13:00:00+00:00,spike,NO2,S5,2,48.5617,,z-score spike | roc=3.458
2022-08-17 14:00:00+00:00,spike,NO2,S5,2,63.2761,,z-score spike | roc=14.714
2022-08-17 15:00:00+00:00,spike,NO2,S5,2,51.6914,,z-score spike | roc=-11.585
2022-08-17 17:00:00+00:00,spike,NO2,S5,2,50.9876,,z-score spike | roc=9.842
2022-08-17 18:00:00+00:00,spike,NO2,S5,2,52.5643,,z-score spike | roc=1.577
2022-08-17 19:00:00+00:00,spike,NO2,S5,2,55.7335,,z-score spike | roc=3.169
2022-08-17 21:00:00+00:00,spike,NO2,S5,2,49.7268,,z-score spike | roc=1.485
2022-08-17 22:00:00+00:00,spike,NO2,S5,2,48.9925,,z-score spike | roc=-0.734
2022-08-17 23:00:00+00:00,spike,NO2,S5,2,49.5984,,z-score spike | roc=0.606
2022-08-18 06:00:00+00:00,spike,NO2,S5,2,52.3848,,z-score spike | roc=4.854
2022-08-18 07:00:00+00:00,spike,NO2,S5,2,55.3303,,z-score spike | roc=2.945
2022-08-18 10:00:00+00:00,spike,NO2,S5,2,51.8894,,z-score spike | roc=11.170
2022-08-19 14:00:00+00:00,spike,NO2,S5,2,53.8975,,z-score spike | roc=6.452
2022-08-19 15:00:00+00:00,spike,NO2,S5,2,51.1651,,z-score spike | roc=-2.732
2022-08-24 16:00:00+00:00,spike,NO2,S5,2,51.1612,,z-score spike | roc=5.259
2022-08-25 18:00:00+00:00,spike,NO2,S5,2,50.8962,,z-score spike | roc=8.393
2022-08-26 12:00:00+00:00,spike,NO2,S5,2,48.739,,z-score spike | roc=5.210
2022-08-26 18:00:00+00:00,spike,NO2,S5,2,49.0088,,z-score spike | roc=3.055
2022-08-29 15:00:00+00:00,spike,NO2,S5,2,49.7576,,z-score spike | roc=2.465
2022-09-06 14:00:00+00:00,spike,NO2,S5,2,52.2696,,z-score spike | roc=14.200
2022-09-06 15:00:00+00:00,spike,NO2,S5,2,60.557,,z-score spike | roc=8.287
2022-09-06 16:00:00+00:00,spike,NO2,S5,2,55.4057,,z-score spike | roc=-5.151
2022-09-06 17:00:00+00:00,spike,NO2,S5,2,51.5812,,z-score spike | roc=-3.824
2022-09-06 18:00:00+00:00,spike,NO2,S5,2,50.2641,,z-score spike | roc=-1.317
2022-09-07 17:00:00+00:00,spike,NO2,S5,2,50.5919,,z-score spike | roc=4.143
2022-09-21 16:00:00+00:00,spike,NO2,S5,2,52.4559,,z-score spike | roc=16.363
2022-09-21 17:00:00+00:00,spike,NO2,S5,2,54.5734,,z-score spike | roc=2.118
2022-09-23 19:00:00+00:00,spike,NO2,S5,2,50.4108,,z-score spike | roc=15.420
2022-09-24 17:00:00+00:00,spike,NO2,S5,2,51.0623,,z-score spike | roc=22.819
2022-09-24 18:00:00+00:00,spike,NO2,S5,2,51.0987,,z-score spike | roc=0.036
2022-09-25 17:00:00+00:00,spike,NO2,S5,2,49.5009,,z-score spike | roc=1.905
2022-09-30 17:00:00+00:00,spike,NO2,S5,2,52.637,,z-score spike | roc=4.598
2022-10-06 17:00:00+00:00,spike,NO2,S5,2,51.0686,,z-score spike | roc=7.151
2022-10-07 16:00:00+00:00,spike,NO2,S5,2,50.1804,,z-score spike | roc=6.722
2022-10-07 17:00:00+00:00,spike,NO2,S5,2,54.7288,,z-score spike | roc=4.548
2022-10-10 17:00:00+00:00,spike,NO2,S5,2,48.8876,,z-score spike | roc=7.501
2022-10-11 16:00:00+00:00,spike,NO2,S5,2,50.0909,,z-score spike | roc=2.611
2022-10-12 18:00:00+00:00,spike,NO2,S5,2,49.2426,,z-score spike | roc=4.539
2022-10-13 15:00:00+00:00,spike,NO2,S5,2,51.3968,,z-score spike | roc=12.628
2022-11-08 15:00:00+00:00,spike,NO2,S5,2,49.3695,,z-score spike | roc=7.187
2022-11-08 16:00:00+00:00,spike,NO2,S5,2,54.0084,,z-score spike | roc=4.639
2022-11-08 17:00:00+00:00,spike,NO2,S5,2,51.7158,,z-score spike | roc=-2.293
2023-01-03 15:00:00+00:00,spike,NO2,S5,2,48.922,,z-score spike | roc=4.973
2023-01-03 16:00:00+00:00,spike,NO2,S5,2,50.1638,,z-score spike | roc=1.242
2023-01-17 16:00:00+00:00,spike,NO2,S5,2,48.5025,,z-score spike | roc=6.289
2023-01-17 17:00:00+00:00,spike,NO2,S5,2,50.3754,,z-score spike | roc=1.873
2023-02-09 16:00:00+00:00,spike,NO2,S5,2,51.7791,,z-score spike | roc=5.807
2023-02-09 17:00:00+00:00,spike,NO2,S5,2,54.056,,z-score spike | roc=2.277
2023-02-09 18:00:00+00:00,spike,NO2,S5,2,54.6944,,z-score spike | roc=0.638
2023-03-02 18:00:00+00:00,spike,NO2,S5,2,54.5401,,z-score spike | roc=6.213
2023-03-02 19:00:00+00:00,spike,NO2,S5,2,59.4736,,z-score spike | roc=4.933
2023-03-18 20:00:00+00:00,spike,NO2,S5,2,48.6409,,z-score spike | roc=11.804
2023-03-19 17:00:00+00:00,spike,NO2,S5,2,49.6654,,z-score spike | roc=4.271
2023-03-19 20:00:00+00:00,spike,NO2,S5,2,49.8035,,z-score spike | roc=2.594
2022-08-16 08:00:00+00:00,spike,O3,S10,2,54.8534,,z-score spike | roc=0.000
2022-08-16 09:00:00+00:00,spike,O3,S10,2,58.441,,z-score spike | roc=3.588
2022-08-16 10:00:00+00:00,spike,O3,S10,2,58.2704,,z-score spike | roc=-0.171
2022-08-16 11:00:00+00:00,spike,O3,S10,2,58.7373,,z-score spike | roc=0.467
2022-08-16 12:00:00+00:00,spike,O3,S10,2,60.5446,,z-score spike | roc=1.807
2022-08-16 13:00:00+00:00,spike,O3,S10,2,59.8171,,z-score spike | roc=-0.727
2022-08-16 14:00:00+00:00,spike,O3,S10,2,58.7802,,z-score spike | roc=-1.037
2022-08-16 15:00:00+00:00,spike,O3,S10,2,56.3494,,z-score spike | roc=-2.431
2022-08-16 16:00:00+00:00,spike,O3,S10,2,55.0734,,z-score spike | roc=-1.276
2022-08-16 17:00:00+00:00,spike,O3,S10,2,51.6576,,z-score spike | roc=-3.416
2022-08-16 18:00:00+00:00,spike,O3,S10,2,54.2615,,z-score spike | roc=2.604
2022-08-16 19:00:00+00:00,spike,O3,S10,2,47.6631,,z-score spike | roc=-6.598
2022-08-16 20:00:00+00:00,spike,O3,S10,2,41.4493,,z-score spike | roc=-6.214
2022-08-17 07:00:00+00:00,spike,O3,S10,2,41.0126,,z-score spike | roc=15.068
2022-08-17 08:00:00+00:00,spike,O3,S10,2,50.9876,,z-score spike | roc=9.975
2022-08-17 09:00:00+00:00,spike,O3,S10,2,57.6445,,z-score spike | roc=6.657
2022-08-17 10:00:00+00:00,spike,O3,S10,2,68.68,,z-score spike | roc=11.036
2022-08-17 11:00:00+00:00,spike,O3,S10,2,66.414,,z-score spike | roc=-2.266
2022-08-17 12:00:00+00:00,spike,O3,S10,2,69.7946,,z-score spike | roc=3.381
2022-08-17 13:00:00+00:00,spike,O3,S10,2,67.8083,,z-score spike | roc=-1.986
2022-08-17 14:00:00+00:00,spike,O3,S10,2,68.6681,,z-score spike | roc=0.860
2022-08-17 15:00:00+00:00,spike,O3,S10,2,68.4876,,z-score spike | roc=-0.181
2022-08-17 16:00:00+00:00,spike,O3,S10,2,67.2462,,z-score spike | roc=-1.241
2022-08-17 17:00:00+00:00,spike,O3,S10,2,63.6431,,z-score spike | roc=-3.603
2022-08-17 18:00:00+00:00,spike,O3,S10,2,55.135,,z-score spike | roc=-8.508
2022-08-17 19:00:00+00:00,spike,O3,S10,2,51.5265,,z-score spike | roc=-3.608
2022-08-17 20:00:00+00:00,spike,O3,S10,2,42.8973,,z-score spike | roc=-8.629
2022-08-17 21:00:00+00:00,spike,O3,S10,2,39.0097,,z-score spike | roc=-3.888
2022-08-18 07:00:00+00:00,spike,O3,S10,2,42.8472,,z-score spike | roc=6.472
2022-08-18 08:00:00+00:00,spike,O3,S10,2,42.9948,,z-score spike | roc=0.148
2022-08-18 09:00:00+00:00,spike,O3,S10,2,63.6459,,z-score spike | roc=20.651
2022-08-18 10:00:00+00:00,spike,O3,S10,2,65.9469,,z-score spike | roc=2.301
2022-08-18 11:00:00+00:00,spike,O3,S10,2,69.3707,,z-score spike | roc=3.424
2022-08-18 12:00:00+00:00,spike,O3,S10,2,69.9258,,z-score spike | roc=0.555
2022-08-18 13:00:00+00:00,spike,O3,S10,2,69.0287,,z-score spike | roc=-0.897
2022-08-18 14:00:00+00:00,spike,O3,S10,2,62.2335,,z-score spike | roc=-6.795
2022-08-18 15:00:00+00:00,spike,O3,S10,2,62.6599,,z-score spike | roc=0.426
2022-08-18 16:00:00+00:00,spike,O3,S10,2,59.6911,,z-score spike | roc=-2.969
2022-08-18 17:00:00+00:00,spike,O3,S10,2,57.3779,,z-score spike | roc=-2.313
2022-08-18 18:00:00+00:00,spike,O3,S10,2,51.6396,,z-score spike | roc=-5.738
2022-08-18 19:00:00+00:00,spike,O3,S10,2,49.7106,,z-score spike | roc=-1.929
2022-08-18 20:00:00+00:00,spike,O3,S10,2,44.9067,,z-score spike | roc=-4.804
2022-08-18 21:00:00+00:00,spike,O3,S10,2,42.8219,,z-score spike | roc=-2.085
2022-08-18 22:00:00+00:00,spike,O3,S10,2,40.3686,,z-score spike | roc=-2.453
2022-08-19 07:00:00+00:00,spike,O3,S10,2,38.8136,,z-score spike | roc=7.908
2022-08-19 08:00:00+00:00,spike,O3,S10,2,46.2564,,z-score spike | roc=7.443
2022-08-19 09:00:00+00:00,spike,O3,S10,2,50.6272,,z-score spike | roc=4.371
2022-08-19 10:00:00+00:00,spike,O3,S10,2,52.6837,,z-score spike | roc=2.056
2022-08-19 11:00:00+00:00,spike,O3,S10,2,55.4261,,z-score spike | roc=2.742
2022-08-19 12:00:00+00:00,spike,O3,S10,2,60.0734,,z-score spike | roc=4.647
2022-08-19 13:00:00+00:00,spike,O3,S10,2,65.5902,,z-score spike | roc=5.517
2022-08-19 14:00:00+00:00,spike,O3,S10,2,64.066,,z-score spike | roc=-1.524
2022-08-19 15:00:00+00:00,spike,O3,S10,2,62.5926,,z-score spike | roc=-1.473
2022-08-19 16:00:00+00:00,spike,O3,S10,2,57.9697,,z-score spike | roc=-4.623
2022-08-19 17:00:00+00:00,spike,O3,S10,2,55.2371,,z-score spike | roc=-2.733
2022-08-19 18:00:00+00:00,spike,O3,S10,2,48.7965,,z-score spike | roc=-6.441
2022-08-19 19:00:00+00:00,spike,O3,S10,2,39.5937,,z-score spike | roc=-9.203
